,precision,recall,average_tpr,tp_tp_ratio,tp_fp_ratio,e2e_acc
eb6_checkpoint_150epochs_yolov5x,1.0,1.0,1.0,1.0,0.0,1.0
eb6_checkpoint_150epochs_yolov5l,0.9346606392869738,0.9172008589024611,0.8619346445809404,0.8328302404555278,0.16716975954447227,0.7178452373032944
eb6_checkpoint_150epochs_yolov5m,0.9585887080407517,0.7430214175036771,0.7199131229995428,0.8045772597838399,0.19542274021616013,0.5792257277853986
eb6_checkpoint_150epochs_yolov5n,0.9622823984526112,0.00782608011703726,0.00782368019626036,0.6110552763819096,0.38894472361809046,0.004780701064649546
eb5_checkpoint_150epochs_yolov5x,1.0,1.0,1.0,0.5452614854607949,0.4547385145392051,0.5452614854607949
eb5_checkpoint_150epochs_yolov5l,0.9346606392869738,0.9172008589024611,0.8619346445809404,0.5391726408945906,0.4608273591054094,0.46473157859724595
eb5_checkpoint_150epochs_yolov5m,0.9585887080407517,0.7430214175036771,0.7199131229995428,0.48686843024548254,0.5131315697545175,0.35050297210791037
eb5_checkpoint_150epochs_yolov5n,0.9622823984526112,0.00782608011703726,0.00782368019626036,0.29246231155778896,0.7075376884422111,0.0022881315950872005
eb4_checkpoint_150epochs_yolov5x,0.8645153189352084,0.05415332824703671,0.053697608760080486,0.03195352214960058,0.9680464778503994,0.001715827730895818
eb4_checkpoint_150epochs_yolov5l,0.9346606392869738,0.9172008589024611,0.8619346445809404,0.029087915480396527,0.9709120845196034,0.025071882091196016
eb4_checkpoint_150epochs_yolov5m,0.8966902313624678,0.04389683731978386,0.04367594809910629,0.03207310517828346,0.9679268948217166,0.0014008232771438856
eb4_checkpoint_150epochs_yolov5n,0.9622823984526112,0.00782608011703726,0.00782368019626036,0.03919597989949749,0.9608040201005025,0.0003066568117127176
eb3_checkpoint_150epochs_yolov5x,1.0,1.0,1.0,0.37978904978016187,0.6202109502198381,0.37978904978016187
eb3_checkpoint_150epochs_yolov5l,0.9346606392869738,0.9172008589024611,0.8619346445809404,0.3450331012245738,0.6549668987754262,0.2973959834726626
eb3_checkpoint_150epochs_yolov5m,0.9585887080407517,0.7430214175036771,0.7199131229995428,0.3321371484222003,0.6678628515777997,0.2391098917847889
eb3_checkpoint_150epochs_yolov5n,0.9622823984526112,0.00782608011703726,0.00782368019626036,0.24623115577889448,0.7537688442211056,0.0019264338171696362
eb2_checkpoint_150epochs_yolov5x,1.0,1.0,1.0,0.036330315638789044,0.9636696843612109,0.036330315638789044
eb2_checkpoint_150epochs_yolov5l,0.9346606392869738,0.9172008589024611,0.8619346445809404,0.03722601447535417,0.9627739855246459,0.03208639155597933
eb2_checkpoint_150epochs_yolov5m,0.9585887080407517,0.7430214175036771,0.7199131229995428,0.0427239141710862,0.9572760858289138,0.030757506477671087
eb2_checkpoint_150epochs_yolov5n,0.9622823984526112,0.00782608011703726,0.00782368019626036,0.053266331658291456,0.9467336683417086,0.0004167387441224111
eb1_checkpoint_150epochs_yolov5x,1.0,1.0,1.0,0.005230495756612841,0.9947695042433872,0.005230495756612841
eb1_checkpoint_150epochs_yolov5l,0.9346606392869738,0.9172008589024611,0.8619346445809404,0.004956608239289267,0.9950433917607108,0.004272272361058755
eb1_checkpoint_150epochs_yolov5m,0.9585887080407517,0.7430214175036771,0.7199131229995428,0.0059915102628431095,0.9940084897371569,0.004313366864807194
eb1_checkpoint_150epochs_yolov5n,0.9622823984526112,0.00782608011703726,0.00782368019626036,0.012060301507537688,0.9879396984924623,9.435594206545157e-05
eb0_checkpoint_150epochs_yolov5x,1.0,1.0,1.0,0.02034780830429687,0.9796521916957032,0.02034780830429687
eb0_checkpoint_150epochs_yolov5l,0.9346606392869738,0.9172008589024611,0.8619346445809404,0.02165300312146263,0.9783469968785373,0.018663473549607883
eb0_checkpoint_150epochs_yolov5m,0.9585887080407517,0.7430214175036771,0.7199131229995428,0.01967882964421438,0.9803211703557856,0.014167047706142357
eb0_checkpoint_150epochs_yolov5n,0.9769335142469471,0.1132618630003382,0.11295978161108888,0.013541666666666667,0.9864583333333333,0.0015296637093168287
