,Model,Accel,batchsize,avg_runtime,50th_pct,90th_pct,95th_pct
0,efficientnet-b0,onnxruntime_cpu,1,23.1230115890502,3.9107799530029004,3.9910316467284996,4.0311694145202
1,efficientnet-b0,onnxruntime_cpu,2,21.1728191375732,4.0823221206664995,4.177021980285599,4.227077960968
2,efficientnet-b0,onnxruntime_cpu,3,18.2254910469055,5.1708221435546,5.2333116531372,5.2605986595153
3,efficientnet-b0,onnxruntime_cpu,4,31.379652023315398,6.1073303222656,6.2062263488769,6.2468528747558
4,efficientnet-b0,onnxruntime_cpu,5,32.783043384552,7.285714149475,7.3562145233154,7.3782682418823
5,efficientnet-b0,onnxruntime_cpu,6,33.3850359916687,8.3063840866088,8.3953380584716,8.491539955139102
6,efficientnet-b0,onnxruntime_cpu,7,36.371464729309004,9.5789432525634,10.3720903396606,10.6562972068786
7,efficientnet-b0,onnxruntime_cpu,8,25.231249332427897,10.4999542236328,10.5696439743042,10.6670498847961
8,efficientnet-b0,onnxruntime_cpu,9,26.358835697174,11.6297006607055,11.714291572570799,11.742687225341701
9,efficientnet-b0,onnxruntime_cpu,10,27.893106937408398,12.8724575042724,12.962174415588299,13.0727052688598
10,efficientnet-b0,onnxruntime_cpu,11,28.9804410934448,13.9709711074829,14.0465497970581,14.0841841697692
11,efficientnet-b0,onnxruntime_cpu,12,40.2736020088195,15.188932418823201,15.249228477478,15.287733078002901
12,efficientnet-b0,onnxruntime_cpu,13,44.776551723480196,16.1980390548706,16.2886381149292,16.3124084472656
13,efficientnet-b0,onnxruntime_cpu,14,32.360990047454806,16.8970823287963,16.974735260009698,17.0015335083007
14,efficientnet-b0,onnxruntime_cpu,15,35.761125087738,20.6546783447265,20.7416772842407,20.7684874534606
15,efficientnet-b0,onnxruntime_cpu,16,35.680766105651806,19.1595554351806,19.2237615585327,19.2837595939636
16,efficientnet-b0,onnxruntime_cpu,17,36.7639946937561,20.4236507415771,20.494723320007303,20.5144166946411
17,efficientnet-b0,onnxruntime_cpu,18,51.5547776222229,21.5393304824829,21.623873710632303,21.6666102409362
18,efficientnet-b0,onnxruntime_cpu,19,45.9038281440734,22.7512121200561,22.847676277160602,22.8663563728332
19,efficientnet-b0,onnxruntime_cpu,20,42.1297669410705,26.938438415527298,26.9971370697021,27.017533779144202
20,efficientnet-b0,onnxruntime_cpu,21,41.9876933097839,24.871826171875,24.972105026245103,24.9844908714294
21,efficientnet-b0,onnxruntime_cpu,22,44.0012025833129,25.7022380828857,25.8258342742919,25.8402466773986
22,efficientnet-b0,onnxruntime_cpu,23,58.9574694633483,27.1316766738891,27.2521018981933,27.436280250549302
23,efficientnet-b0,onnxruntime_cpu,24,48.697941303253096,30.9147834777832,31.696748733520497,31.734812259673998
24,efficientnet-b0,onnxruntime_cpu,25,46.8930721282958,28.5966396331787,28.714513778686502,28.7619352340698
25,efficientnet-b0,onnxruntime_cpu,26,47.5463771820068,29.5741558074951,29.645800590515098,29.824948310852
26,efficientnet-b0,onnxruntime_cpu,27,49.3475985527038,30.5430889129638,30.700659751892,30.865526199340803
27,efficientnet-b0,onnxruntime_cpu,28,72.7905488014221,32.367587089538496,32.4848175048828,32.5441479682922
28,efficientnet-b0,onnxruntime_cpu,29,108.1777667999267,32.8443050384521,32.91015625,32.9288840293884
29,efficientnet-b0,onnxruntime_cpu,30,108.5857248306274,33.507227897644,33.6317062377929,33.735477924346895
30,efficientnet-b0,onnxruntime_cpu,31,114.8232340812683,37.3955965042114,39.3455743789672,39.471662044525104
31,efficientnet-b0,onnxruntime_cpu,32,112.2701239585876,35.6239080429077,37.6909494400024,37.8076553344726
32,efficientnet-b0,onnxruntime_cpu,33,112.9527854919433,36.922812461853,40.116810798645,42.1057224273681
33,efficientnet-b0,onnxruntime_cpu,34,112.847843170166,37.7998352050781,37.9073858261108,37.9425406455993
34,efficientnet-b0,onnxruntime_cpu,35,123.5625886917114,38.793802261352496,38.91282081604,38.9554500579834
35,efficientnet-b0,onnxruntime_cpu,36,120.9260559082031,45.2340841293334,47.6129055023193,47.711575031280496
36,efficientnet-b0,onnxruntime_cpu,37,119.29701805114739,41.0809516906738,43.5748100280761,43.6082005500793
37,efficientnet-b0,onnxruntime_cpu,38,137.1949672698974,48.5192537307739,51.135444641113196,51.214826107025104
38,efficientnet-b0,onnxruntime_cpu,39,119.41164970397949,42.8566932678222,45.462393760681096,45.546853542327796
39,efficientnet-b0,onnxruntime_cpu,40,123.6728572845459,49.6574640274047,52.2160291671752,52.277410030364905
40,efficientnet-b0,onnxruntime_cpu,41,122.7031111717224,44.9236631393432,47.5907564163208,47.646951675415
41,efficientnet-b0,onnxruntime_cpu,42,129.0725135803222,51.783323287963796,54.4581651687622,54.5249700546264
42,efficientnet-b0,onnxruntime_cpu,43,125.2473354339599,47.0302104949951,49.8327016830444,50.027585029602
43,efficientnet-b0,onnxruntime_cpu,44,131.278395652771,54.1229248046875,57.1105003356933,57.157552242279
44,efficientnet-b0,onnxruntime_cpu,45,139.4176292419433,49.9941110610961,52.9658079147338,53.0141353607177
45,efficientnet-b0,onnxruntime_cpu,46,128.6084079742431,50.1406192779541,53.1545162200927,53.2124638557434
46,efficientnet-b0,onnxruntime_cpu,47,131.1126446723938,54.3057918548584,60.4563236236572,60.590970516204806
47,efficientnet-b0,onnxruntime_cpu,48,140.8410573005676,52.3686408996582,55.5176734924316,55.5980682373046
48,efficientnet-b0,onnxruntime_cpu,49,137.694137096405,59.857368469238196,63.085007667541504,63.1583452224731
49,efficientnet-b0,onnxruntime_cpu,50,134.71234798431388,54.517388343811,61.0165357589721,64.0342116355896
50,efficientnet-b0,onnxruntime_cpu,51,135.75448036193848,55.5920600891113,58.7635993957519,58.89253616333
51,efficientnet-b0,onnxruntime_cpu,52,142.13629722595212,63.51363658905019,66.94695949554439,67.0457601547241
52,efficientnet-b0,onnxruntime_cpu,53,138.59723091125488,57.661056518554595,61.1415863037109,61.245989799499505
53,efficientnet-b0,onnxruntime_cpu,54,143.1421422958374,63.44056129455559,66.9249534606933,67.06001758575431
54,efficientnet-b0,onnxruntime_cpu,55,153.94500255584708,63.474059104919405,67.4765825271606,67.6303267478942
55,efficientnet-b0,onnxruntime_cpu,56,141.1566495895385,61.4863634109497,61.6491794586181,62.0119571685791
56,efficientnet-b0,onnxruntime_cpu,57,145.3457975387573,65.2357339859008,65.376329421997,65.52903652191159
57,efficientnet-b0,onnxruntime_cpu,58,144.8417401313781,63.661932945251394,63.8028621673583,63.852405548095696
